HF_FNCLTY_MTRAL_RCOGN_NO,DAY_INTK_HIGHLIMIT,DAY_INTK_LOWLIMIT,WT_UNIT,RAWMTRL_NM,IFTKN_ATNT_MATR_CN,PRIMARY_FNCLTY
제2010-24호,"1,380 (mg)","1,380 (mg)",mg,레몬 밤 추출물 혼합분말(기능성원료인정제2010-24호),(1) 알레르기 반응이 나타날 경우에는 섭취를 중단하시기 바랍니다. (2) 섭취 후 진정작용이 나타날 수 있습니다. (3) 어린이 및 임산부와 수유부 여성은 섭취에 주의하시기 바랍니다.,(국문) 체지방 감소에 도움을 줄 수 있음 (기타기능II)
제2010-25호,"1,500 (mg)","1,000 (mg)",mg,AP 콜라겐 효소분해 펩타이드(기능성원료인정제2010-25호),(1) 임산부와 수유부는 섭취에 주의하시기 바랍니다.,"(국문) 피부 보습에 도움을 줄 수 있음, 자외선에 의한 피부 손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음 (영문) May help to moisturize (dry) skin, May help to maintain good skin health by protecting against damage from UV exposure"
제2010-28호,"1,350 (mg)","1,350 (mg)",mg,피카오프레토 분말 등 복합물(ClearGuard TM)(기능성원료인정제2010-28호),"(1) 임산부와 수유부, 어린이는 섭취에 주의하시기 바랍니다.",(국문) 과민반응에 의한 코 상태 개선에 도움을 줄 수 있음 (영문) May help to improve nose condition of hypersensitivity reaction
제2010-2호,2 (g),2 (g),g,연어 펩타이드(기능성원료인정제2010-2호),"(1) 임산부, 수유부는 섭취를 삼가시기 바랍니다. (2) 어린이, 노인, 신부전이 있는 사람, 혈압약을 복용하시는 분이 섭취 시에는 의사와 상담하셔야 합니다.",(국문) 혈압이 높은 사람에게 도움을 줄 수 있음(기타기능II)
제2010-32호,8 (g),3 (g),g,보리 베타글루칸 추출물(Barley b-glucan Extract)(기능성원료인정제2010-32호),,(국문) 혈중 콜레스테롤 개선에 도움을 줄 수 있음 (생리활성기능 2등급)
제2010-33호,3 (g),3 (g),g,지각상엽 추출 혼합물(기능성원료인정제2010-33호),(1) 피부에 광과민성 반응이 나타나는 사람은 섭취에 주의,(국문) 혈당 조절에 도움을 줄 수 있음 (기타기능II)
제2010-35호,350 (mg),350 (mg),mg,HK표고버섯균사체(기능성원료인정제2010-35호),"(1) 임산부, 수유부는 섭취에 주의",(국문) 간건강에 도움을 줄 수 있음(기타 II)
제2010-38호,150 (ml),150 (ml),ml,창녕양파추출액(기능성원료인정제2010-38호),,(국문) 혈중 콜레스테롤 개선에 도움을 줄 수 있음 (기타기능 II)
제2010-39호,500 (mg),500 (mg),mg,크랜베리 추출물(Cran-Max)(기능성원료인정제2010-39호),,(국문) 요로에 유해균 흡착 억제로 요로건강에 도움을 줄 수 있음 (영문) May help to urinary tract health by restraining adhesion of pathogen to urinary tract
제2010-40호,40 (ml),40 (ml),ml,석류농축액(기능성원료인정제2010-40호),"(1) 어린이, 임산부와 수유부는 섭취를 피하는 것이 좋습니다. (2) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의하시기 바랍니다.",(국문) 갱년기 여성의 건강에 도움을 줄 수 있음(생리활성기능 2등급I)
제2010-47호,800 (mg),800 (mg),mg,전칠삼추출물 등 복합물(기능성원료인정제2010-47호),,(국문) 관절건강에 도움을 줄 수 있음 (기타기능II)
제2010-4호,72 (mg),67 (mg),mg,스피루리나 원말(기능성원료인정제2010-4호),「건강기능식품의 기준 및 규격」 II.2.1.5 스피루리나,(국문) 면역조절에 도움을 줄 수 있으나 인체시험을 통한 확인이 필요함 (기타기능Ⅲ)
제2010-50호,2 (g),2 (g),g,L-카르니틴 타르트레이트(기능성원료인정제2010-50호),,(국문) 체지방 감소에 도움을 줄 수 있음 (기타기능 Ⅱ)
제2010-53호,5 (g),5 (g),g,서목태(쥐눈이콩)펩타이드(기능성원료인정제2010-53호),,"(국문) 혈당 조절에 도움을 줄 수 있음(생리활성기능 2등급), 혈압이 높은 사람에게 도움을 줄 수 있음(생리활성기능 2등급), 체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급)"
제2010-59호,"2,200 (mg)","2,200 (mg)",mg,지초추출물(기능성원료인정제2010-59호),,(국문) 피부보습에 도움을 줄 수 있음(기타기능Ⅱ)
제2010-62호,"3,150 (mg)","3,150 (mg)",mg,복분자추출분말(기능성원료인정제2010-62호),,(국문) 간 건강에 도움을 줄 수 있음(기타기능Ⅱ)
제2010-6호,4 (mg),2 (mg),mg,카제인 가수분해물(기능성원료인정제2010-6호),,(국문) 혈압이 높은 사람에게 도움을 줄 수 있습니다.(기타기능 II)
제2010-7호,3 (g),3 (g),g,Green Mate Extract EFLA 920(기능성원료인정제2010-7호),"(1) 어린이, 임산부 및 수유부는 섭취를 피할 것 (2) 질환이 있거나 의약품 복용시 전문가와 상담할 것 (3) 카페인을 함유한 식품의 섭취에 주의할 것 (4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 체지방 감소에 도움을 줄 수 있습니다(기타기능II)
제2010-8호,2 (g),2 (g),g,아티초크 추출물(기능성원료인정제2010-8호),(1) 담관에 이상이 있는 분은 의사와 상의하신 후 섭취하시기 바랍니다. (2) 알레르기 반응이 나타나는 경우에는 섭취를 중단하시기 바랍니다.,(국문) 담즙분비를 촉진하여 지방 소화에 도움을 줄 수 있음(생리활성기능 2등급)
제2011-15호,"1,000 (mg)",600 (mg),mg,호박씨추출물 등 복합물(기능성원료인정제2011-15호),"(1) 영유아, 어린이, 임산부와 수유부는 섭취에 주의 (2) 호박씨, 대두에 알레르기를 나타내는 사람은 섭취에 주의 (3) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의",(국문) 방광의 배뇨기능 개선에 도움을 줄 수 있음(생리활성기능 2등급)
제2011-16호,3 (g/일),3 (g/일),g/일,동충하초 유래 P. hepiali 균사체(Cs-4) 추출물(제2011-16호),"(1) 어린이, 임산부, 수유부는 섭취에 주의
(2) 섭취 시 가벼운 위불쾌감 유발 가능
(3) 혈당강하제, 항응고제, 항우울제와 병용 시 섭취에 주의","(국문) 지구력 증진에 도움을 줄 수 있음
(영문) May help to improve endurance"
제2011-21호,1 (g),1 (g),g,글로빈 가수분해물(기능성원료인정제2011-21호),(1) 임산부와 수유부는 섭취 시 주의 (2) 높은 혈당 및 당뇨환자는 섭취 시 주의,(국문) 식후 혈중 중성지방 개선에 도움을 줄 수 있음(기타기능Ⅱ)
제2011-22호,2 (g),2 (g),g,유산균발효다시마추출물(기능성원료인정제2011-22호),"(1) 요오드 함량이 높은 식품(해조류, 어패류 등) 섭취 시 주의 (2) 갑상선질환 등을 보유하고 있는 사람은 섭취 시 주의 (3) 임산부 및 수유부는 섭취 시 주의","(국문) 알콜성 손상으로부터 간을 보호하는데 도움을 줄 수 있음, 기억력 개선에 도움을 줄 수 있음 (영문) May help to protect liver from alcoholic liver injury, May help to improve memory"
제2011-23호,2 (g),2 (g),g,유산균 발효 다시마추출물(기능성원료인정제2011-23호),"(1) 요오드 함량이 높은 식품(해조류, 어패류 등) 섭취 시 주의 (2) 갑상선질환 등을 보유하고 있는 사람은 섭취 시 주의 (3) 임산부 및 수유부는 섭취 시 주의",(국문) 알콜성 손상으로부터 간을 보호하는데 도움을 줄 수 있음(기타기능Ⅱ) (영문) May help to maintain liver protection from alcohol-induced damage
제2011-27호,960 (mg),960 (mg),mg,인삼가수분해 농축액(기능성원료인정제2011-27호),"(1) 의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",(국문) 혈당 조절에 도움을 줄 수 있음 (영문) May help to maintain healthy blood glucose level
제2011-28호,2 (g),2 (g),g,가시오갈피 등 복합추출물(기능성원료인정제2011-28호),,(국문) 관절 건강에 도움을 줄 수 있음(기타기능Ⅱ)
제2011-37호,8 (g),5 (g),g,타가토스(기능성원료인정제2011-37호),(1) 과량 섭취 시 위장장애가 발생할 수 있음,(국문) 식후 혈당조절에 도움을 줄 수 있음(기타기능Ⅱ)
제2011-39호,500 (mg),500 (mg),mg,크랜베리 추출물(기능성원료인정제2011-39호),,(국문) 요로에 유해균 흡착 억제로 요로건강에 도움을 줄 수 있음(기타기능 II)
제2011-3호,800 (mg),800 (mg),mg,당귀등추출복합물(기능성원료인정제2011-3호),(1) 항응고제와 병용 시 주의,(국문) 노인의 기억력 개선에 도움을 줄 수 있음 (영문) May help to improve abilities to remember
제2011-40호,5 (g),5 (g),g,발효생성아미노산 복합물(기능성원료인정제2011-40호),"(1) 신장, 심혈관계 질환이 있거나 간기능이 저하된 분은 섭취에 주의 (2) 임산부, 수유부는 섭취에 주의",(국문) 지구성 운동 시 피로개선에 도움을 줄 수 있음(생리활성기능 2등급) (영문) May help to relieve fatigue recovery
제2011-42호,500 (mg),500 (mg),mg,콜레우스 포스콜리 추출물(기능성원료인정제2011-42호),"(1) 임산부, 수유여성, 어린이는 섭취에 주의",(국문) 체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급)
제2011-6호,20 (g),8 (g),g,밀전분유래 난소화성말토덱스트린(기능성원료인정제2011-6호),"(1) 과량 섭취 시 설사, 복부팽만 등을 유발할 수 있으므로 주의",(국문) 장내 유익균의 증식과 유해균의 억제에 도움을 줄 수 있음(기타기능II)
제2011-7호,5 (g),5 (g),g,마카 젤라틴화 분말(기능성원료인정제2011-7호),,(국문) 정자 운동성 개선에 도움을 줄 수 있음(생리활성기능 2등급)
제2012-12호,750 (mg),750 (mg),mg,민들레 등 추출복합물(기능성원료인정제2012-12호),,(국문) 피부보습에 도움을 줄 수 있음(생리활성기능 2등급)
제2012-16호,"1,248 (mg)","1,248 (mg)",mg,지방산복합물 FAC(Fatty Acid Complex)(기능성원료인정제2012-16호),,"관절 건강에 도움을 줄 수 있음
(생리활성기능2등급)"
제2012-19호,2 (g),2 (g),g,L-카르니틴 타르트레이트(기능성원료인정제2012-19호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 체지방 감소에 도움을 줄 수 있음, 운동으로 인한 피로 개선에 도움을 줄 수 있음 (영문) May help to reduce body fat, May help to reduce fatigue during endurance exercise"
제2012-22호,20 (mg),19 (mg),mg,마리골드 추출물(루테인 에스테르)(기능성원료인정제2012-22호),(1) 과다 섭취시 일시적으로 피부가 황색으로 변할 수 있음,(국문) 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음 (영문) May help the eye health by maintaining the density of macular pigments which can be decreased by aging
제2012-24호,2 (g),2 (g),g,Collactive 콜라겐펩타이드(기능성원료인정제2012-24호),(1) 임산부와 수유부는 섭취에 주의하시기 바랍니다.,(국문) 피부 보습에 도움을 줄 수 있음 (영문) May help to moisturize skin
제2012-25호,"1,000 (mg)","1,000 (mg)",mg,청국장균배양정제물(폴리감마글루탐산칼륨)(기능성원료인정제2012-25호),"(1) 어린이, 임신 또는 수유중인 여성은 섭취에 주의",(국문) 면역기능 증진에 도움을 줄 수 있음(생리활성기능 2등급)
제2012-28호,360 (mg),72 (mg),mg,씨폴리놀 감태주정추출물(기능성원료인정제2012-28호),"(1) 요오드 함량이 높은 식품(해조류, 어패류 등) 섭취 시 주의 (2) 갑상선질환 등을 보유하고 있는 사람은 섭취 시 주의 (3) 임산부, 수유부 및 12세 이하 어린이는 섭취 시 주의","(국문) 혈중 콜레스테롤 개선에 도움을 줄 수 있음(생리활성기능 2등급), 식후혈당 상승 억제에 도움을 줄 수 있음"
제2012-30호,"1,350 (mg)","1,350 (mg)",mg,솔잎 증류 농축액(기능성원료인정제2012-30호),"(1) 기관지 천식, 해소 기침이나 기도에 심한 염증이 있는 사람은 섭취에 주의",(국문) 건강한 혈당의 유지에 도움을 줄 수 있음(생리활성기능2등급)
제2012-31호,900 (mg),900 (mg),mg,콩발효추출물(기능성원료인정제2012-31호),"(1) 대두에 알레르기를 나타내는 사람은 섭취 시 주의 (2) 임산부, 수유부 및 어린이는 섭취 시 주의",(국문) 식후 혈당상승 억제에 도움을 줄 수 있음(생리활성기능 2등급)
제2012-32호,900 (mg),900 (mg),mg,콩발효추출물(기능성원료인정제2012-32호),"(1) 대두에 알레르기를 나타내는 사람은 섭취 시 주의 (2) 임산부, 수유부 및 어린이는 섭취 시 주의",(국문) 식후 혈당상승 억제에 도움을 줄 수 있음(생리활성기능 2등급)
제2012-33호,180 (mg),125 (mg),mg,아쉬아간다 추출물(기능성원료인정제2012-33호),"(1) 임산부, 수유부, 어린이는 섭취에 주의",(국문) 스트레스로 인한 긴장 완화에 도움을 줄 수 있음 (생리활성기능 2등급)
제2012-36호,600 (mg),600 (mg),mg,핑거루트추출분말(기능성원료인정제2012-36호),,"(국문) 자외선에 의한 피부손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음(생리활성기능 2등급), 체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급)"
제2012-5호,500 (mg),500 (mg),mg,콜레우스 포스콜리 추출물(기능성원료인정제2012-5호),"(1) 임산부, 수유여성, 어린이는 섭취에 주의",(국문) 체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급)
제2012-7호,100 (mg),100 (mg),mg,나토균배양분말(기능성원료인정제2012-7호),(1) 대두에 알레르기를 나타내는 사람은 섭취에 주의 (2) 임산부․수유부 섭취에 주의 (3) 의약품(혈액항응고제) 복용시 섭취에 주의 (4) 수술 전․후 섭취에 주의,"(국문) 혈압이 높은 사람에게 도움을 줄 수 있음, 혈소판 응집억제를 통한 혈행개선에 도움을 줄 수 있음 (영문) May help to improve high blood pressure, May help to improve blood circulation through inhibition of platelet aggregation"
